#start-internal
icon=brazil
#end-internal
(Building Blocks)|(Blocos)
Click to toggle to the next option|
Coil|Bobina
Coil Border|Canto da bobina
Coil Length|Comprimento da bobina
Coil Width|Largura da bobina
Color|Cor
Color 1|Cor 1
Color 2|Cor 2
Color code|Código da cor
Columns|Colunas
Component|Componente
Component API|API do componente
Components|Componentes
Config|Configuração
Connector|Conector
Connector (Mirrored)|Conector (espelhado)
Connectivity|Conectividade
Contacts|Contatos
Continuous Creation|Criação Continua
Coordinate Color|Cor das Coordenadas
Coordinate Origin|Origem das Coordenadas
Coordinates|Coordenadas
Copy|Copiar
Core|Núcleo
Core Border|Borda do núcleo
Core Thickness|Espessura do núcleo
Core Width|Largura do núcleo
Could not create a new file. Check the log for details.|Não foi possível criar um novo aqruivo. Verifique o registro para mais detalhes.
Could not create component. Check log for details.|Não possível criar o componente. Verifique o registro para mais detalhes.
Could not fetch public announcements.|Não foi possível obter os anúncios públicos.
Could not save the project to file. Check the log for details.|Não foi possível salvar o projeto em um arquivo. Verifique o registro para mais detalhes.
Could not set component type slot. Check log for details.|Não foi possível estabelecer o tipo de encaixe do componente. Verifique o registro para mais detalhes.
Cover|Cobrir
Create B.O.M.|Criar Lista de Materiais
Create New Account|Criar Nova Conta
Current|Atual
Cut|Cortar
Cut Between Holes|Cortar entre os furos
Cut Orientation|Orientação do corte
DIP (Mirrored)|DIP (espelhado)
DP3T (Standard 3-Position Strat)|DP3T (3-Posições Padrão Stratocaster)
DP3T (Standard 5-Position Strat)|DP3T (5-Posições Padrão Stratocaster)
DP4T (4-Position Tele)|DP4T (4-Posições Telecaster)
Dark|Escuro
Dashed|Tracejado
Decimals|Decimais
Default|Padrão
Default Font|Fonte Padrão
Default Font Size|Tamanho de Fonte Padrão
Delete Selection|Excluir Seleção
Description|Descrição
Diameter|Diâmetro
Directional|Direcional
Directly heated|Aquecido diretamente
Display|Mostrar
Display Pin #s|Mostrar Numeracão dos Pinos
Dog Ear|Dog Ear
Dot Spacing|Espaçamento de Pontos
Dotted|Pontilhado
Drag control point(s) of|Arrastar ponto(s) de controle
Drag the mouse over the canvas to place a new|Arrastar o mouse sobre a área de trabalho para colocar um novo
Dual Rail Humbucker|Dual Rail Humbucker
Dual Rods|Barras Duplas
Duodecar B12C|Duodecar B12C
Duplicate|Duplicar
Edges|Bordas
Edit|Editar
Edit Project Settings|Editar Configuração do Projeto
Edit Selection|Editar Seleção
Electrode Labels|Legenda dos Eletrodos
Electro-Mechanical|Electromecânico
Enable Cache Boost|Habilitar o reforço do Cache
End Arrow|Seta Final
Enjoying DIYLC? Click here to buy me a coffee :)|Está gostando do DIYLC? Clique aqui para tomarmos um café juntos :)
Error|Erro
Error occurred while editing selection. Check the log for details.|Um erro ocorreu durante a a seleção de edição. Verifique o registro para mais detalhes.
Exit|Sair
Expand Selection|Expandir Seleção
Explicit Dimensions|Dimensões Explícitas
Explicit Length|Comprimento Explícito
Explicit Width|Largura Explícita
Export Building Blocks|Exportar Blocos
Export Grid|Exportar Grid
Export Variants|Exportar Variáveis
Export to PDF|Exportar em PDF
Export to PNG|Exportar em PNG
Extra Working Area|Área de Trabalho Extra
Eyelet color|Cor do Eyelet
FAQ|Preguntas Mais Frequentes
File|Arquivo
Fill|Preencher
Filtertron|Filtertron
Find|Localizar
Five|Cinco
Flip|Girar
Folded|Dobrado
Font|Fonte
Font Bold|Negrito
Font Italic|Itálico
Font Size|Tamanho da fonte
Font Size Override|
Four|Quatro
Full|Cheio
Fuse|Fusível
Generate DIYLC Netlist|Gerar Lista de Redes DIYLC 
Generate Spice Netlist|Gerar Lista Especial de Redes
Grid|Grid
Grid Spacing|Espaçamento do Grid
Group Selection|Seleção de Grupo
Guitar|Guitarra
Half|Metade
Hardware Acceleration|Aceleração do Hardware
Heaters|Aquecedores
Height|Altura
Help|Ajuda
Hi-Quality Rendering|Renderizado de Alta Qualidade
Highlight Connected Areas|Destacar Áreas Conectadas
Hole|Furo
Hole Size|Tamanho do Furo	
Hole Spacing|Espaçamento dos Furos
Hole Size|Tamanho do Furo
Holes per strip|Furos por cada Fileira
Horizontal|Horizontal
Horizontal Alignment|Alinhamento horizontal
Horizontal Large|Horizontal Grande
Horizontal Medium|Horizontal Médio
Horizontal Small 1|Horizontal Pequeno 1
Horizontal Small 2|Horizontal Pequeno 2
Horizontal X-Small|Horizontal Extra Pequeno
Humbucking|Humbucking
If this box is checked application will use the current value as a<br>default when creating new components of the same type|Se esta opção estiver marcada, o aplicativo usará o valor atual como <b>valor predeterminado para criar novos componentes do mesmo tipo.
Image|Imagem
Immediate Only|Apenas Imediato
Import|Importar
Import Building Blocks|Importar Blocos
Import Variants|Importar variações
In-Line D-44|Em linha D-44
In-line|Em linha
Indent|Fenda
Information|Informação
Inline|Em linha
Input error for "%s": %s|Error de entrada para "%s": %s
Inside color|Cor interior
Integration|Integração
Invert polarity|Polaridade invertida
Label|Etiqueta
Label Color|Cor de Etiqueta
Label Orientation|Orientação da Etiqueta
Label Position|Posicição da Etiqueta
Labels|Etiquetas
Language|Idioma
Language selection will be applied after the application is restarted.|A seleção do idioma se aplicará depois de reiniciar o aplicativo.
Layer|Camada
Layers|Camadas
Lead Color|Cor do Conector
Lead Count|Quantidade de Conectores
Lead Length|Comprimento do Conector
Lead Spacing|Espaçamento do Conector
Left|Esquerda
Left-to-Right|Da Esquerda para Direita
Left click to instantiate this component, right click for more options|Clique com o botão esquerdo para criar uma instância deste componente, clique com o botão direito para mais opções
Legs|Extremidades
Length|Comprimento
Letters|Letras
Light|Claro
Lin|Linear
Lock|Bloquear
Log|Logarítmico
Log In|Iniciar Sessão
Log Out|Fechar Sessão
Look for|Localizar
Lug Size|Tamanho do Terminal
Lugs|Terminais
Make a Donation|Fazer uma Doação
Manage Account|Administrar Conta
Manage My Uploads|Administrar meus Uploads
Mark Common Lugs|Marcar Terminais Comuns
Marker|Marcador
Mini|Mini
Miniature|Miniatura
Mirror Horizontally|Inverter Horizontalmente
Mirror Selection|Inverter Seleção
Mirror Vertically|Inverter Verticalmente
Mirroring operation will change the circuit. Do you want to continue?|A operação de inverção modificará o circuito. Deseja continuar?
Misc|Diversos
Model|Modelo
Mono|Mono
Mount|Montar
Mounting Lugs|Terminais de Montagem
Mouse Wheel Zoom|Zoom com a Roda do mouse
Moveable Label|Etiqueta Móvel
Name|Nome
Nand|Nand
Negative|Negativo
New|Novo
New version available|Nova versão disponível
No new public announcements available.|Não há novos anúncios públicos.
No|Não
None|Nada 
North|Norte
Noval B9A|Noval B9A
Nudge|Empurrar
Numbers|Números
Nut|Porca
Octal|Octal
Offset|Deslocamento
One Side|Um lado
Open|Abrir
Opposing Points|Pontos de Oposição
Orientation|Orientação
Outer Foil|Lâmina Externa
Outer Foil Mark|Marca de Lâmina Externa
Outline Mode|Modo Esquemático
Outside|Externo
Oval horizontal|Oval horizontal
Oval vertical|Oval vertical
Pad Color|Cor do Pad
Passive|Passivo
Paste|Colar
Pin Arrangement|Ordem dos Terminais
Pin Color|Cor do Terminal
Pin Spacing|Espaçamento dos Terminais
Pin spacing|Espaçamento dos terminais
Pinout|Pinagem
Pins|Pinos
Play Test|Realizar Teste
Plugin API|Complemento API
Point Count|Total de Pontos
Polarity|Polaridade
Polarized|Polarizado
Pole Color|Cor do Polo
Pole Pieces|Peças Polares
Pole Pieces 1|Peças Polares 1
Pole Pieces 2|Peças Polares 2
Positions|Posições
Positive|Positivo
Power Rating|Potência Nominal
Power Strip|Listra Eletrificada
Primary CT|CT Primário
Print...|Imprimir...
Project Cloud|Projetos na Núvem
Public Announcement|Anúncio Público
Radius|Raio
Rail|Rail
Recent Files|Arquivos Recentes
Recent Updates|Atualizações Recentes
Redo|Refazer
Renumber On Paste|Renumerar ao Colar
Renumber Selection|Renumerar seleção
Resistance|Resistência
Rev log|Logarítmico Invertido
Reverse (standing)|Invertido (em pé)
Right|Direita
Rim|Aro
Rods|Barras
Rotate Clockwise|Rotacionar em Sentido Horário
Rotate Counterclockwise|Rotacionar em Sentido Anti-horário
Rotate Selection|Rotacionar Seleção
Round|Redondo
Round WOG A|Redondo WOG A 
Round WOG B|Redondo WOG B
Row Spacing|Distância entre filas
Rows|Filas
Ruler Inch Subdivision...|Subdivisão da régua em polegadas...
Same Type Only|Apenas o Mesmo Tipo
Save|Salvar
Save As|Salvar como
Save as Variant|Salvar como Variação
Scale|Escala
Schematic Symbols|Símbolos Esquemáticos
Screws|Parafusos
Selection|Seleção
Selection Size|Tamanho de seleção
Selection is empty.|A seleção está vazia.
Search The Cloud|Localizar na Nuvem
Searchable Tree|Árvore de busca
Secondary CT|CT Secundário
Select All|Selecionar Tudo
Selected component(s) have reached the bottom of their layer. Do you want to force the selection to the back?|Componente(s) seleccionado(s) está(ão) na parte de trás da camada. Deseja forçar a seleção para trás?
Selected component(s) have reached the top of their layer. Do you want to force the selection to the top?|Componente(s) seleccionado(s) está(ão) na parte da frente da camada. Deseja forçar a seleção para frente?
Selection contains components that cannot be mirrored. Do you want to exclude them?|A seleção contém componentes que não podem ser espelhados. Deseja excluí-los?
Selection contains components that cannot be rotated. Do you want to exclude them?|A seleção contém componentes que não podem ser espelhados rotacionados. Deseja excluí-los?
Semiconductors|Semicondutores
Send Backward|Enviar para trás
Send Selection to Back|Enviar seleção para trás
Seven|Sete
Shaft Down|Jogar para baixo
Shaft Up|Jogar para cima
Shape|Forma
Shapes|Formas
Show Grid|Mostrar Grid
Show Rulers|Mostrar Réguas
Shroud|Envoltura
Shrouded|Envolto
Single Rail|Um Rail
Single Rods|Barras Simples
Size|Tamanho
Sizing Mode|Modo de Dimensionamento
Small-button B7G|Botão pequeno B7G
Smooth|Suave
Snap To...|Ajustarse a...
Soap Bar|Soap Bar
Solid|Sólido
South|Sul
Spacing|Espaçamento
Square|Quadrado
Square BR-3|Quadrado BR-3
Standard|Padrão
Start Arrow|Seta de Início
Start Recording|Iniciar Gravação
Stereo|Estéreo
Sticky Points|Pontos Agrupados
Stop Recording|Parar Gravação
Stratocaster|Stratocaster
Strip Color|Cor da Tira
Stripe|Tira 
Stripe 1|Tira 1
Stripe 2|Tira 2
Stripe Color|Cor da Tira
Stripe Color 1|Cor da Tira 1
Stripe Color 2|Cor da Tira 2
Style|Estilo
Submit a Bug|Reportar um Erro
Suppressor grid|Régua Supressora
Switched|Conmutado
Switches|Interruptores
Tab|Guia
Tab Border|Borda da Guia
Tabbed Toolbar|Barra de Ferramentas com Guia
Taper|Ajuste
Telecaster|Telecaster
Terminal Spacing|Espaçamento de Terminal
Terminals|Terminais
Test|Testar
Text|Texto
Text Color|Cor do Texto
Theme|Tema
There are unsaved changes. Would you like to save them?|Existem alterações que não foram salvas. Deseja salva-las?
Thickness|Espessura
Three|Três
Through Hole|Terminal de Solda 
Tick|Indicador
Title|Título
Toolbox|Caixa de Ferramentas
Top|Acima
Top Lead|Conector Superior
Top Left|Canto Superior Esquerdo
Top Right|Canto Superior Direito
Top-to-Bottom|De cima para baixo
Trace|Traçado
Trace Color|Cor do Traçado
Trace Mask|Máscara do traçado
Transform Selection|Transformar seleção
Triangle|Triângulo
Tubular|Tubular
Tubes|Válvulas
Two|Dois
Type|Tipo
Ultra-miniature|Ultra-miniatura
Underside Pad Color|Cor do traço  Inferior
Underside Trace Color|Cor do traço Inferior
Undo|Desfazer
Ungroup Selection|Desagrupar Seleção
Unit|Unidade
Upload A Project|Fazer Upload de um Projeto
User Manual|Manual de Usuário
Value|Valor
Version history is not available.|O histórico de versões não está disponível.
Vertical|Vertical
Vertical Alignment|Alinhamento Vertical
Vertical Inline|Em linha Vertical
Vertical Offset 1|Zig-Zag Vertical 1
Vertical Offset 2|Zig-Zag Vertical 2
View|Ver
Visible|Visível
Voltage|Voltagem
Wafer|Wafer
Warning|Cuidado
Width|Largura
Winding Spacing|Espaçamento do Enrolamento
X-axis|Eixo X
Y-axis|Eixo Y
Zoom|Zoom
base of 10|Base de 10
base of 2|Base de 2
hold %s and drag to unstick from|Mantenha pressionado %s e arraste para soltar
Add a Curve|Adicionar uma Curva
Clear|Limpar
Insert Image|Inserir Imagem
Load From File|Caregar do Arquivo
Loadline Editor|Editor de Carga
Max Current (mA)|Corrente Máxima (mA)
Max Dissipation (W)|Disipação Máxima (W)
Max Voltage (V)|Tensão Máxima (V)
Save To File|Salvar no Aquivo
Update Axis|Atualizar Eixos
Apply Variant|Aplicar Variante
Save as Building Block|Salvar como Bloco 
Select|Selecionar
Unlock|Desbloquear
