#start-internal
icon=spain
#end-internal
(Building Blocks)|(Bloques)
Could not create component. Check log for details.|No se pudo crear el componente. Verifique el registro para más detalles.
Could not fetch public announcements.|No se pudieron obtener anuncios públicos.
Could not save the project to file. Check the log for details.|No se pudo guardar el proyecto a un archivo. Verifique el registro para más detalles.
Could not set component type slot. Check log for details.|No se pudo establecer la ranura de tipo de componente. Verifique el registro para más detalles.
Cover|Cubrir
Create B.O.M.|Crear B.O.M.
Create New Account|Crear una nueva cuenta
Current|Actual
Cut|Cortar
Cut Between Holes|Cortar entre agujeros
Cut Orientation|Orientación de corte
DIP (Mirrored)|DIP (reflejado)
DP3T (Standard 3-Position Strat)|DP3T (3-posiciones Standard de Stratocaster)
DP3T (Standard 5-Position Strat)|DP3T (5-posiciones Standard de Stratocaster)
DP4T (4-Position Tele)|DP4T (4-posiciones Telecaster)
Dark|Oscuro
Dashed|Rayado
Decimals|Decimales
Default|Defecto
Default Font|Fuente predeterminada
Default Font Size|Tamaño de fuente predeterminado
Delete Selection|Eliminar selección
Description|Descripción
Diameter|Diámetro
Directional|Direccional
Directly heated|Directamente calentado
Display|Mostrar
Display Pin #s|Mostrar Punto #s
Dog Ear|Dog Ear
Dot Spacing|Espaciado de puntos
Dotted|Punteado
Drag control point(s) of|Arrastre punto(s) de control de
Drag the mouse over the canvas to place a new|Arrastre el mouse sobre el lienzo para colocar uno nuevo
Dual Rail Humbucker|Humbucker de doble carril
Dual Rods|Varas dobles
Duodecar B12C|Duodecar B12C
Duplicate|Duplicar
Edges|Bordes
Edit|Editar
Edit Project Settings|Editar configuración del proyecto
Edit Selection|Editar selección
Electrode Labels|Etiquetas de electrodos
Electro-Mechanical|Electromecánicos
Enable Cache Boost|Habilitar el refuerzo del caché
End Arrow|Flecha final
Enjoying DIYLC? Click here to buy me a coffee :)|¿Estás disfrutando de DIYLC? Haz clic aquí para comprarme un café :)
Error|Error
Error occurred while editing selection. Check the log for details.|Se produjo un error al editar la selección. Verifique el registro para más detalles.
Exit|Salida
Expand Selection|Expandir selección
Explicit Dimensions|Dimensiones explícitas
Explicit Length|Longitud explícita
Explicit Width|Ancho explícito
Export Building Blocks|Exportar Bloques
Export Grid|Exportar cuadrícula
Export Variants|Exportar variantes
Export to PDF|Exportar a PDF
Export to PNG|Exportar a PNG
Extra Working Area|Área extra de trabajo
Eyelet color|Color de Ojete
FAQ|Preguntas más frecuentes
File|Archivo
Fill|Llenar
Filtertron|Filtertron
Find|Encontrar
Five|Cinco
Flip|Voltear
Folded|Doblada
Font|Fuente
Font Bold|Negrita
Font Italic|Italic
Font Size|Tamaño de fuente
Four|Cuatro
Full|Lleno
Fuse|Fusible
Generate DIYLC Netlist|Generar Lista de red DIYLC
Generate Spice Netlist|Generar Lista de red especial
Grid|Cuadrícula
Grid Spacing|Espaciado de la cuadrícula
Group Selection|Selección de grupo
Guitar|Guitarra
Half|Mitad
Hardware Acceleration|Aceleracion de hardware
Heaters|Calentadores
Height|Altura
Help|Ayuda
Hi-Quality Rendering|Renderizado de alta calidad
Highlight Connected Areas|Destacar áreas conectadas
Hole|Agujero
Hole Size|Tamaño del agujero
Hole Spacing|Espacio del agujero
Hole size|Tamaño del agujero
Holes per strip|Agujeros por tira
Horizontal|Horizontal
Horizontal Alignment|Alineación horizontal
Horizontal Large|Horizontal Grande
Horizontal Medium|Horizontal Medio
Horizontal Small 1|Horizontal Pequeño 1
Horizontal Small 2|Horizontal Pequeño 2
Horizontal X-Small|Horizontal Extra pequeño
Humbucking|Humbucking
If this box is checked application will use the current value as a<br>default when creating new components of the same type|Si esta casilla está marcada, la aplicación usará el valor actual como <b>valor predeterminado para crear nuevos componentes del mismo tipo.
Image|Imagen
Immediate Only|Solo inmediato
Import|Importar
Import Building Blocks|Importar Bloques
Import Variants|Importar variantes
In-Line D-44|En línea D-44
In-line|En línea
Indent|Hendidura
Information|Información
Inline|En línea
Input error for "%s": %s|Error de entrada para "%s": %s
Inside color|Color interior
Integration|Integración
Invert polarity|Polaridad invertida
Label|Etiqueta
Label Color|Color de etiqueta
Label Orientation|Orientación de etiqueta
Label Position|Posición de etiqueta
Labels|Etiquetas
Language|Idioma
Language selection will be applied after the application is restarted.|La selección del idioma se aplicará después de reiniciar la aplicación.
Layer|Capa
Layers|Capas
Lead Color|Color de conector
Lead Count|Cantidad de conector(es)
Lead Length|Longitud de conectores
Lead Spacing|Espaciado de conectores
Left|Izquierda
Left-to-Right|De izquierda a derecha
Left click to instantiate this component, right click for more options|Haga clic izquierdo para crear una instancia de este componente, haga clic derecho para obtener más opciones
Legs|Piernas
Length|Longitud
Letters|Letras
Light|Claro
Lin|Lineal
Lock|Bloquear
Log|Logaritmo
Log In|Iniciar sesión
Log Out|Cerrar sesión
Look for|Buscar
Lug Size|Tamaño de terminal
Lugs|Terminal
Make a Donation|Haz una donación
Manage Account|Administrar cuenta
Manage My Uploads|Administrar mis subidas
Mark Common Lugs|Marcar terminales comunes
Marker|Marcador
Mini|Mini
Miniature|Miniatura
Mirror Horizontally|Espejo horizontalmente
Mirror Selection|Selección de espejo
Mirror Vertically|Espejo verticalmente
Mirroring operation will change the circuit. Do you want to continue?|La operación de Espejo cambiará el circuito. ¿Quieres continuar?
Misc|Misceláneos
Model|Modelo
Mono|Mono
Mount|Montar
Mounting Lugs|Terminales de montaje
Mouse Wheel Zoom|Zoom con rueda de Mouse
Moveable Label|Etiqueta movible
Name|Nombre
Nand|Nand
Negative|Negativo
New|Nuevo
New version available|Nueva versión disponible
No new public announcements available.|No hay nuevos anuncios públicos disponibles.
No|No
None|Ninguna
North|Norte
Noval B9A|Noval B9A
Nudge|Empujar
Numbers|Números
Nut|Tuerca
Octal|Octal
Offset|Desplazar
One Side|Un lado
Open|Abierto
Opposing Points|Puntos de oposición
Orientation|Orientación
Outer Foil|Lámina externa
Outer Foil Mark|Marca de lámina externa
Outline Mode|Modo de esquema
Outside|Fuera
Oval horizontal|Óvalo horizontal
Oval vertical|Óvalo vertical
Pad Color|Color de conector
Passive|Pasivo
Paste|Pegar
Pin Arrangement|Acomodo de puntos
Pin Color|Color de punto
Pin Spacing|Espacio entre puntos
Pin spacing|Espacio entre puntos
Pinout|Punto de salida
Pins|Puntos
Play Test|Hacer prueba
Plugin API|Complemento API
Point Count|Recuento de puntos
Polarity|Polaridad
Polarized|Polarizado
Pole Color|Color de polo
Pole Pieces|Piezas de polo
Pole Pieces 1|Piezas de polo 1
Pole Pieces 2|Piezas de polo 2
Positions|Posiciones
Positive|Positivo
Power Rating|Potencia nominal
Power Strip|Regleta
Primary CT|CT primario
Print...|Imprimir...
Project Cloud|Nube de proyecto
Public Announcement|Anuncio público
Radius|Radio
Rail|Carril
Recent Files|Archivos recientes
Recent Updates|Actualizaciones recientes
Redo|Rehacer
Renumber On Paste|Renumerar en pegado
Renumber Selection|Renumerar selección
Resistance|Resistencia
Rev log|Rev logaritmo
Reverse (standing)|Reverso (de pie)
Right|Derecho
Rim|Borde
Rods|Varas
Rotate Clockwise|Rotar en sentido de reloj
Rotate Counterclockwise|Rotar en sentido contrareloj
Rotate Selection|Rotar selección
Round|Redondo
Round WOG A|Redondo WOG A
Round WOG B|Redondo WOG B
Row Spacing|Distancia entre filas
Rows|Filas
Ruler Inch Subdivision...|Subdivisión de regla en pulgas...
Same Type Only|Solo el mismo tipo
Save|Guardar
Save As|Guardar como
Save as Variant|Guardar como variante
Scale|Escala
Schematic Symbols|Símbolos esquemáticos
Screws|Tornillos
Selection|Selección
Selection Size|Tamaño de selección
Selection is empty.|La selección está vacía.
Search The Cloud|Busca en la nube
Searchable Tree|Árbol de búsqueda
Secondary CT|CT secundario
Select All|Seleccionar todo
Selected component(s) have reached the bottom of their layer. Do you want to force the selection to the back?|Componente(s) seleccionado(s) esta en el fondo de su capa. ¿Desea forzar la selección hacia atrás?
Selected component(s) have reached the top of their layer. Do you want to force the selection to the top?|Componente(s) seleccionado(s) esta en la parte superior de su capa. ¿Quieres forzar la selección hacia el frente?
Selection contains components that cannot be mirrored. Do you want to exclude them?|La selección contiene componentes que no se pueden reflejar. ¿Quieres excluirlos?
Selection contains components that cannot be rotated. Do you want to exclude them?|La selección contiene componentes que no se pueden rotar. ¿Quieres excluirlos?
Semiconductors|Semiconductores
Send Backward|Enviar atrás
Send Selection to Back|Enviar selección atrás
Seven|Siete
Shaft Down|Eje abajo
Shaft Up|Eje arriba
Shape|Forma
Shapes|Formas
Show Grid|Mostrar cuadrícula
Show Rulers|Mostrar reglas
Shroud|Envolvente
Shrouded|Envuelto
Single Rail|Un carril
Single Rods|Una vara
Size|Tamaño
Sizing Mode|Modo de dimensionamiento
Small-button B7G|Botón pequeño B7G
Smooth|Suave
Snap To...|Ajustar a ...
Soap Bar|Soap Bar
Solid|Sólido
South|Sur
Spacing|Espaciado
Square|Cuadrado
Square BR-3|Cuadrado BR-3
Standard|Estándar
Start Arrow|Flecha de inicio
Start Recording|Iniciar grabación
Stereo|Estéreo
Sticky Points|Puntos pegadisos
Stop Recording|parar grabación
Stratocaster|Stratocaster
Strip Color|Color de la tira
Stripe|Raya
Stripe 1|Raya 1
Stripe 2|Raya 2
Stripe Color|Color de Raya
Stripe Color 1|Color de Raya 1
Stripe Color 2|Color de Rayas 2
Style|Estilo
Submit a Bug|Enviar un error
Suppressor grid|Rejilla supresora
Switched|Cambiado
Switches|Interruptores
Tab|Pestaña
Tab Border|Borde de pestaña
Tabbed Toolbar|Barra de herramientas con pestañas
Taper|Tipo
Telecaster|Telecaster
Terminal Spacing|Espaciado de terminal
Terminals|Terminales
Test|Prueba
Text|Texto
Text Color|Color de texto
Theme|Tema
There are unsaved changes. Would you like to save them?|Hay cambios sin guardar. ¿Te gustaría guardarlos?
Thickness|Grosor
Three|Tres
Through Hole|A través de orificio
Tick|Marca
Title|Título
Toolbox|Caja de herramientas
Top|Parte superior
Top Lead|Superior principal
Top Left|Superior izquierda
Top Right|Superior derecha
Top-to-Bottom|De arriba hacia abajo
Trace|Trazado
Trace Color|Color de trazado
Trace Mask|Mascara de trazado
Transform Selection|Transformar selección
Triangle|Triángulo
Tubular|Tubular
Tubes|Tubos
Two|Dos
Type|Tipo
Ultra-miniature|Ultra miniatura
Underside Pad Color|Color de Pad inferior
Underside Trace Color|Color de trazo inferior
Undo|Deshacer
Ungroup Selection|Desagrupar selección
Unit|Unidad
Upload A Project|Subir un proyecto
User Manual|Manual de usuario
Value|Valor
Version history is not available.|El historial de versiones no está disponible.
Vertical|Vertical
Vertical Alignment|Alineamiento vertical
Vertical Inline|En linea vertical
Vertical Offset 1|Desplazamiento vertical 1
Vertical Offset 2|Desplazamiento vertical 2
View|Ver
Visible|Visible
Voltage|Voltaje
Wafer|Wafer
Warning|Advertencia
Width|Anchura
Winding Spacing|Espaciado de Devanados
X-axis|Eje X
Y-axis|Eje Y
Zoom|Zoom
base of 10|base de 10
base of 2|base de 2
hold %s and drag to unstuck from|Mantenga presionado %s y arrastre para despegar
Add a Curve|Agregar una Curva
Clear|Limpiar
Insert Image|Insertar Imagen
Load From File|Carga desde Archivo
Loadline Editor|Editor de Carga
Max Current (mA)|Corriente Máxima (mA)
Max Dissipation (W)|Disipación Máxima (W)
Max Voltage (V)|Tensión Máxima (V)
Save To File|Guardar en Archivo
Update Axis|Actualizar Ejes
Apply Variant|Aplicar Variante
Save as Building Block|Guardar como Bloque
Select|Seleccionar
Unlock|Desbloquear
