#start-internal
icon=germany
#end-internal
(Building Blocks)|(Bausteine)
Cut Between Holes|Zwischen den Löchern schneiden
Cut Orientation|Schnittrichtung
DIP (Mirrored)|DIP (gespiegelt)
DP3T (Standard 3-Position Strat)|DP3T (Standard Strat 3-Positionen Schalter) 
DP3T (Standard 5-Position Strat)|DP3T (Standard Strat 5-Positionen Schalter) 
DP4T (4-Position Tele)|DP4T (Tele 4-Positionen Schalter) 
Dark|Dunkel
Dashed|Gestrichelt
Decimals|Dezimal
Default|Standard
Default Font|Standardschriftart 
Default Font Size|Standardschriftgröße 
Delete Selection|Auswahl löschen 
Description|Beschreibung 
Diameter|Durchmesser
Directional|Direktionell
Directly heated|Direkt geheizt
Display|Anzeigen
Display Pin #s|Stiftnummern anzeigen
Dog Ear|‘Dog Ear’
Dot Spacing|Punktabstand
Dotted|Gepunktet
Drag control point(s) of|Ziehe Kontrollpunkt(e) von
Drag the mouse over the canvas to place a new|Ziehen sie die Maus über das Arbeitsblatt zum plazieren eines neuen
Dual Rail Humbucker|‘Dual Rail Humbucker‘
Dual Rods|Doppelstäbe
Duodecar B12C|Duodecar B12C 
Duplicate|Duplizieren
Edges|Randen
Edit|Bearbeiten
Edit Project Settings|Projekteinstellungen bearbeiten 
Edit Selection|Auswahl bearbeiten 
Electrode Labels|Elektrodenetiketten
Electro-Mechanical|Elektromechanisch
Enable Cache Boost|Cache-Boost aktivieren
End Arrow|Endpfeil
Enjoying DIYLC? Click here to buy me a coffee :)|Gefällt Ihnen DIYLC? Klicken Sie hier, um mir einen Kaffee zu kaufen
Error|Fehler
Error occurred while editing selection. Check the log for details.|Beim Bearbeiten der Auswahl ist ein Fehler aufgetreten. Überprüfen Sie die Protokolldatei für Details.
Exit|Beenden
Expand Selection|Auswahl erweitern
Explicit Dimensions|Explizite Dimensionen 
Explicit Length|Explizite Länge 
Explicit Width|Explizite Breite 
Export Building Blocks|Bausteine exportieren
Export Grid|Raster exportieren
Export Variants|Varianten exportieren
Export to PDF|Als PDF exportieren
Export to PNG|Als PNG exportieren
Extra Working Area|Zusätzlicher Arbeitsbereich
Eyelet color|Ösenfarbe
FAQ|Häufig gestellte Fragen
File|Datei
Fill|Füllen
Filtertron|Filtertron
Find|Finden
Five|Fünf
Flip|Umkehren
Folded|Gefaltet
Font|Schriftart
Font Bold|Fettschrift
Font Italic|Kursivschrift
Font Size|Schriftgröße 
Four|Vier
Full|Voll 
Fuse|Sicherung 
Generate DIYLC Netlist|DIYLC-Netzliste erstellen 
Generate Spice Netlist|Spice-Netzliste erstellen 
Grid|Raster
Grid Spacing|Rasterabstand
Group Selection|Auswahl gruppieren
Guitar|Gitarre
Half|Halb
Hardware Acceleration|Hardwarebeschleunigung
Heaters|Heizung
Height|Höhe
Help|Hilfe
Hi-Quality Rendering|Hochwertiges Rendering
Highlight Connected Areas|Verbundene Bereiche markieren
Hole|Loch 
Hole Size|Lochgröße 
Hole Spacing|Lochabstand 
Holes per strip|Löcher pro Streifen
Horizontal|Horizontal 
Horizontal Alignment|Horizontale Ausrichtung 
Horizontal Large|Horizontal breit 
Horizontal Medium|Horizontales medium 
Horizontal Small 1|Horizontal klein 1 
Horizontal Small 2|Horizontal klein 2 
Horizontal X-Small|Horizontal extra klein 
Humbucking|‘Humbucking‘
If this box is checked application will use the current value as a<br>default when creating new components of the same type|Wenn dieses Kontrollkästchen aktiviert ist, verwendet die Anwendung den aktuellen Wert als <br> Standard, wenn neue Komponenten des selben Typs erstellt werden 
Image|Bild
Immediate Only|Nur sofort 
Import|Importieren 
Import Building Blocks|Bausteine importieren 
Import Variants|Varianten importieren 
In-Line D-44|Inline D-44
In-line|Inline
Indent|Einrücken 
Information|Informationen 
Input error for "%s": %s|Eingabefehler für " %s": %s 
Insert Image|Bild einfügen
Inside color|Innenfarbe
Integration|Integration
Invert polarity|Polarität umkehren
Label|Beschriftung
Label Color|Beschriftungsfarbe
Label Orientation|Beschriftungsrichtung
Label Position|Beschriftungposition
Labels|Beschriftungen
Language|Sprache
Language selection will be applied after the application is restarted.|Die gewählte Sprache wird nach Neustart der Anwendung verwendet.
Layer|Ebene
Layers|Ebenen
Lead Color|Leitungfarbe
Lead Count|Leitungsanzahl
Lead Length|Leitungslänge
Lead Spacing|Leitungsabstand
Left|Links
Left-to-Right|Von links nach rechts
Left click to instantiate this component, right click for more options|Klicken Sie mit der linken Maustaste, um diese Komponente zu instanziieren, oder klicken Sie mit der rechten Maustaste, um weitere Optionen anzuzeigen
Legs|Anschlüsse
Length|Länge
Letters|Buchstaben
Light|Hell
Lin|Lin
Load From File|Aus Datei laden
Loadline Editor|Kennliniendiagramm
Lock|Sperren
Log|Log
Log In|Anmelden
Log Out|Abmelden
Lug Size|Lötpadgröße
Lugs|Lötpad
Make a Donation|Spenden
Manage Account|Konto verwalten
Manage My Uploads|Meine Uploads verwalten
Mark Common Lugs|Verbundene Lötpads markieren
Marker|Markierung
Max Current (mA)|Max Strom (mA)
Max Dissipation (W)|Max Verlustleistung (W)
Max Voltage (V)|Max Spannung (V)
Mini|Mini
Miniature|Miniatur
Mirror Horizontally|Horizontal spiegeln
Mirror Selection|Auswahl spiegeln
Mirror Vertically|Vertikal spiegeln
Mirroring operation will change the circuit. Do you want to continue?|Spiegelung wird die Schaltung verändern. Möchten Sie fortfahren?
Misc|Sonstiges
Model|Modell
Mono|Mono
Mount|Befestigung
Mounting Lugs|Befestigungslaschen
Mouse Wheel Zoom|Zoomrad
Moveable Label|Bewegliche Beschriftung
Name|Name 
Nand|NAND 
Negative|Negativ 
New|Neu 
New version available|Neue Version verfügbar 
No new public announcements available.|Keine neuen öffentlichen Ankündigungen verfügbar. 
No|Nein 
None|Nichts 
North|Norden 
Noval B9A|Noval B9A
Nudge|Stupsen
Numbers|Nummern
Nut|Mutter
Octal|Oktal
Offset|Versatz
One Side|Eine Seite
Open|Öffnen
Opposing Points|Gegenüberliegende Punkte
Orientation|Orientierung
Outer Foil|Äußere Folie
Outer Foil Mark|Äußere Folienmarkierung
Outline Mode|Umrissmodus
Outside|Außerhalb
Oval horizontal|Horizontales Oval
Oval vertical|Vertikales Oval
Pad Color|Lötpad-Farbe
Passive|Passiv 
Paste|Einfügen 
Pin Arrangement|Stiftanordnung
Pin Color|Stiftfarbe
Pin Spacing|Stiftabstand
Pinout|Stiftbelegung
Pins|Stifte
Play Test|Test abspielen
Plugin API|Plugin-API
Point Count|Punktezählung
Polarity|Polarität
Polarized|Polarisiert 
Pole Color|Polfarbe
Pole Pieces|Polschuh
Pole Pieces 1|Polschuh 1
Pole Pieces 2|Polschuh 2
Positions|Positionen 
Positive|Positiv 
Power Rating|Nennleistung 
Power Strip|Steckdosenleiste
Primary CT|Primärer Mittelabgriff
Print...|Drucken...
Project Cloud|Projekt Cloud
Public Announcement|Öffentliche Ankündigung
Radius|Radius
Rail|Schiene
Recent Files|Letzte Dateien
Recent Updates|Letzte Updates
Redo|Nochmal ausführen
Renumber On Paste|Beim Einfügen umnummerieren
Renumber Selection|Auswahl neu nummerieren
Resistance|Widerstand
Rev log|Negativ logarithmisch
Reverse (standing)|Umgedreht
Right|Rechts
Rim|Seitenrand
Rods|Stäbe
Rotate Clockwise|Im Uhrzeigersinn drehen 
Rotate Counterclockwise|Gegen den Uhrzeigersinn drehen 
Rotate Selection|Auswahl drehen
Round|Runde
Round package A|Rundes Paket A
Round package B|Rundes Paket B
Row Spacing|Zeilenabstand 
Rows|Zeilen 
Ruler Inch Subdivision...|Zoll-Unterteilung auf Lineal...
Same Type Only|Nur derselbe Typ
Save|Speichern 
Save As|Speichern unter 
Save as Variant|Als Variante speichern
Save to File|Speichern
Scale|Skalieren
Schematic Symbols|Schematische Symbole
Screws|Schrauben
Save as Building Block|Als Baustein speichern
Select|Wählen
Selection|Auswahl
Selection Size|Auswahl Größe
Selection is empty.|Auswahl ist leer.
Search The Cloud|In der Cloud suchen
Searchable Tree|Durchsuchbarer Baum
Secondary CT|Sekundäre Mittelabgriff
Select All|Alle auswählen
Selected component(s) have reached the bottom of their layer. Do you want to force the selection to the back?|Ausgewählte Komponente(n) haben den Boden ihrer Schicht erreicht. Sollen sie weiter abgesenkt werden? 
Selected component(s) have reached the top of their layer. Do you want to force the selection to the top?|Ausgewählte Komponente(n) haben den oberen Rand ihrer Schicht erreicht. Sollen sie weiter angehoben werden?
Selection contains components that cannot be mirrored. Do you want to exclude them?|Die Auswahl enthält Komponenten, die nicht gespiegelt werden können. Wollen Sie diese ausschließen?
Save as Building Block|Als Baustein speichern
Save To File|Speichern
Select|Wählen
Selection contains components that cannot be rotated. Do you want to exclude them?|Die Auswahl enthält Komponenten, die nicht gedreht werden können. Wollen Sie diese ausschließen?
Semiconductors|Halbleiter
Send Backward|Absenken
Send Selection to Back|Auswahl nach den Boden senden
Seven|Sieben
Shaft Down|Achse nach unten
Shaft Up|Achse nach oben
Shape|Form 
Shapes|Formen 
Show Grid|Raster anzeigen
Show Rulers|Lineale anzeigen
Shroud|Wanne
Shrouded|Abgeschirmt
Single Rail|Einzelschiene
Single Rods|Einzelstäbe
Size|Größe
Sizing Mode|Größenmodus 
Small-button B7G|Miniatur 7-pol 
Smooth|Glätten
Snap To...|Einrasten zu...
Soap Bar|
Solid|Ununterbrochen
South|Süden 
Spacing|Abstand 
Square|Quadrat
Square BR-3|BR-3 Sockel
Standard|Standard
Start Arrow|Pfeilanfang
Start Recording|Aufnahme starten
Stereo|Stereo 
Sticky Points|Klebepunkte
Stop Recording|Aufnahme beenden
Stratocaster|Stratocaster
Strip Color|Bandfarbe
Stripe|Streifen 
Stripe 1|Streifen 1 
Stripe 2|Streifen 2 
Stripe Color|Streifenfarbe
Stripe Color 1|Streifenfarbe 1 
Stripe Color 2|Streifenfarbe 2 
Style|Stil
Submit a Bug|Fehler melden
Suppressor grid|Bremsgitter
Switched|Geschaltet 
Switches|Schalter 
Tab|Befestigungslasche
Tab Border|Befestigungslasche rand
Tabbed Toolbar|Registerkarten-Symbolleiste 
Taper|Widerstandsverlauf
Telecaster|Telecaster
Terminal Spacing|Klemmenabstand
Terminals|Klemmen
Test|Test 
Text|Text 
Text Color|Textfarbe 
Theme|Thema 
There are unsaved changes. Would you like to save them?|Es gibt ungespeicherte Änderungen. Möchten Sie sie speichern? 
Thickness|Dicke
Three|Drei
Through Hole|Durchsteckmontage
Tick|Abstufung
Title|Titel
Toolbox|Werkzeugkasten
Top|Oben
Top Lead|Oberste Leitung
Top Left|Oben links 
Top Right|Oben rechts 
Top-to-Bottom|Von oben nach unten 
Trace|Leiterbahn
Trace Color|Leiterbahn Farbe
Trace Mask|Leiterbahn Maske
Transform Selection|Auswahl transformieren
Triangle|Dreieck 
Tubular|Rohrförmig 
Tubes|Röhren
Two|Zwei
Type|Typ 
Ultra-miniature|Ultra-Miniatur 
Underside Pad Color|Unterseite Pad Farbe
Underside Trace Color|Unterseite Leiterbahn Farbe
Undo|Rückgängig machen
Ungroup Selection|Auswahl auflösen
Unit|Maßeinheit
Unlock|Freischalten
Update Axis|Achse aktualisieren
Upload A Project|Ein Projekt hochladen
User Manual|Benutzerhandbuch 
Value|Wert
Version history is not available.|Der Versionsverlauf ist nicht verfügbar.
Vertical|Vertikal 
Vertical Alignment|Vertikale Ausrichtung 
Vertical Inline|Vertikale Inline 
Vertical Offset 1|Vertikaler Versatz 1 
Vertical Offset 2|Vertikaler Versatz 2 
View|Anzeigen 
Visible|Sichtbar 
Voltage|Spannung
Wafer|Wafer
Warning|Warnung 
Width|Breite 
Winding Spacing|Spule afstand
X-axis|X-Achse 
Y-axis|Y-Achse 
Zoom|Vergrößern
base of 10|Zehntel
base of 2|Achtel
hold %s and drag to unstick from|Halten Sie X gedrückt und ziehen Sie, zum lösen von
