#start-internal
icon=spain
#end-internal
(Building Blocks)|(Bloques)
Click to show recent changes and updates|Haga clic para ver cambios y actualizaciones recientes
Click to toggle to the next option|Haga clic para cambiar a la siguiente opción
Coil|Bobina
Coil Border|Borde de la bobina
Coil Length|Longitud de la bobina
Coil Width|Ancho de la bobina
Color|Color
Color 1|Color 1
Color 2|Color 2
Color code|Código de color
Columns|Columnas
Component|Componente
Component API|API de componentes
Components|Componentes
Config|Configuración
Connector|Conector
Connector (Mirrored)|Conector (reflejado)
Connectivity|Conectividad
Contacts|Contactos
Continuous Creation|Creación Continua
Coordinate Color|Color de Coordenadas
Coordinate Origin|Origen de Coordenadas
Coordinates|Coordenadas
Copy|Copiar
Core|Núcleo
Core Border|Borde del núcleo
Core Thickness|Espesor del núcleo
Core Width|Ancho del núcleo
Could not create a new file. Check the log for details.|No se pudo crear un nuevo archivo. Verifique el registro para más detalles.
Could not create component. Check log for details.|No se pudo crear el componente. Verifique el registro para más detalles.
Could not fetch public announcements.|No se pudieron obtener anuncios públicos.
Could not save the project to file. Check the log for details.|No se pudo guardar el proyecto a un archivo. Verifique el registro para más detalles.
Could not set component type slot. Check log for details.|No se pudo establecer la ranura de tipo de componente. Verifique el registro para más detalles.
Cover|Cubrir
Create B.O.M.|Crear Lista de Materiales
Create New Account|Crear una nueva cuenta
Current|Actual
Cut|Cortar
Cut Between Holes|Cortar entre agujeros
Cut Orientation|Orientación de corte
DIP (Mirrored)|DIP (reflejado)
DP3T (Standard 3-Position Strat)|DP3T (3-posiciones Standard de Stratocaster)
DP3T (Standard 5-Position Strat)|DP3T (5-posiciones Standard de Stratocaster)
DP4T (4-Position Tele)|DP4T (4-posiciones Telecaster)
Dark|Oscuro
Dashed|Rayado
Decimals|Decimales
Default|Por Defecto
Default Font|Fuente predeterminada
Default Font Size|Tamaño de fuente predeterminado
Delete Selection|Eliminar selección
Description|Descripción
Diameter|Diámetro
Directional|Direccional
Directly heated|Caldeo Directo
Display|Mostrar
Display Pin #s|Mostrar Numeración de Pines
Dog Ear|Dog Ear
Dot Spacing|Espaciado de puntos
Dotted|Punteado
Drag control point(s) of|Arrastre punto(s) de control de
Drag the mouse over the canvas to place a new|Arrastre el puntero sobre el área de trabajo para colocar uno nuevo
Dual Rail Humbucker|Humbucker de Doble Rail
Dual Rods|Barras Dobles
Duodecar B12C|Duodecar B12C
Duplicate|Duplicar
Edges|Bordes
Edit|Editar
Edit Project Settings|Editar Configuración del Proyecto
Edit Selection|Editar Selección
Electrode Labels|Etiquetas de Electrodos
Electro-Mechanical|Electromecánico
Enable Cache Boost|Habilitar el Refuerzo del Caché
End Arrow|Flecha Final
Enjoying DIYLC? Click here to buy me a coffee :)|¿Estás disfrutando de DIYLC? Haz clic aquí­ para invitarme a un café :)
Error|Error
Error occurred while editing selection. Check the log for details.|Se produjo un error al editar la selección. Verifique el registro para más detalles.
Exit|Salida
Expand Selection|Expandir Selección
Explicit Dimensions|Dimensiones Explícitas
Explicit Length|Longitud Explícita
Explicit Width|Ancho Explícito
Export Building Blocks|Exportar Bloques
Export Grid|Exportar Cuadrícula
Export Variants|Exportar Variantes
Export to PDF|Exportar a PDF
Export to PNG|Exportar a PNG
Extra Working Area|Área Extra de Trabajo
Eyelet color|Color de Ojete
FAQ|Preguntas Más Frecuentes
File|Archivo
Fill|Llenar
Filtertron|Filtertron
Find|Encontrar
Five|Cinco
Flip|Voltear
Folded|Tumbado
Font|Fuente
Font Bold|Negrita
Font Italic|Itálica
Font Size|Tamaño de fuente
Font Size Override|Tamaño de fuente (an.)
Four|Cuatro
Full|Lleno
Fuse|Fusible
Generate DIYLC Netlist|Generar Lista de Redes DIYLC 
Generate Spice Netlist|Generar Lista Especial de Redes
Grid|Cuadrícula
Grid Spacing|Espaciado de la Cuadrí­cula
Group Selection|Selección de Grupo
Guitar|Guitarra
Half|Mitad
Hardware Acceleration|Aceleración de Hardware
Heaters|Calentadores
Height|Altura
Help|Ayuda
Hi-Quality Rendering|Renderizado de Alta Calidad
Highlight Connected Areas|Destacar Áreas Conectadas
Hole|Agujero
Hole Size|Tamaño del Agujero
Hole Spacing|Espaciado de Agujeros
Hole size|Tamaño del agujero
Holes per strip|Agujeros por cada Tira
Horizontal|Horizontal
Horizontal Alignment|Alineación horizontal
Horizontal Large|Horizontal Grande
Horizontal Medium|Horizontal Medio
Horizontal Small 1|Horizontal Pequeño 1
Horizontal Small 2|Horizontal Pequeño 2
Horizontal X-Small|Horizontal Extra Pequeño
Humbucking|Humbucking
If this box is checked application will use the current value as a<br>default when creating new components of the same type|Si esta casilla está marcada, la aplicación usará el valor actual como <b>valor predeterminado para crear nuevos componentes del mismo tipo.
Image|Imagen
Immediate Only|Solo Inmediato
Import|Importar
Import Building Blocks|Importar Bloques
Import Netlist|Importar Lista de Redes
Import Variants|Importar variantes
In-Line D-44|En Lí­nea D-44
In-line|En línea
Indent|Hendidura
Information|Información
Inline|En línea
Input error for "%s": %s|Error de entrada para "%s": %s
Inside color|Color interior
Integration|Integración
Invert polarity|Polaridad invertida
Label|Etiqueta
Label Color|Color de Etiqueta
Label Orientation|Orientación de Etiqueta
Label Position|Posición de Etiqueta
Labels|Etiquetas
Language|Idioma
Language selection will be applied after the application is restarted.|La selección del idioma se aplicará después de reiniciar la aplicación.
Layer|Capa
Layers|Capas
Lead Color|Color del Terminal
Lead Count|Cantidad de Conectores
Lead Length|Longitud de Conectores 
Lead Spacing|Espaciado de Conectores 
Left|Izquierda
Left-to-Right|De Izquierda a Derecha
Left click to instantiate this component, right click for more options|Haga clic izquierdo para crear una instancia de este componente, haga clic derecho para obtener más opciones
Legs|Patas
Length|Longitud
Letters|Letras
Light|Claro
Lin|Lineal
Lock|Bloquear
Log|Logarítmico
Log In|Iniciar Sesión
Log Out|Cerrar Sesión
Look for|Buscar
Lug Size|Tamaño de Terminal
Lugs|Terminales
Make a Donation|Haz una Donación
Manage Account|Administrar Cuenta
Manage My Uploads|Administrar mis Subidas
Mark Common Lugs|Marcar Terminales Comunes
Marker|Marcador
Mini|Mini
Miniature|Miniatura
Mirror Horizontally|Invertir Horizontalmente
Mirror Selection|Selección de Inversión
Mirror Vertically|Invertir Verticalmente
Mirroring operation will change the circuit. Do you want to continue?|La operación de inversión cambiará el circuito. ¿Desea continuar?
Misc|Miscelánea
Model|Modelo
Mono|Mono
Mount|Montar
Mounting Lugs|Terminales de Montaje
Mouse Wheel Zoom|Zoom con la Rueda del Ratón
Moveable Label|Etiqueta Movible
Name|Nombre
Nand|Nand
Negative|Negativo
New|Nuevo
New version available|Nueva versión disponible
No new public announcements available.|No hay nuevos anuncios públicos disponibles.
No|No
None|Nada 
North|Norte
Noval B9A|Noval B9A
Nudge|Empujar
Numbers|Números
Nut|Tuerca
Octal|Octal
Offset|Desplazamiento
One Side|Un lado
Open|Abierto
Opposing Points|Puntos de oposición
Orientation|Orientación
Outer Foil|Lámina externa
Outer Foil Mark|Marca de lámina externa
Outline Mode|Modo Esquemático
Outside|Extremos
Oval horizontal|Óvalo horizontal
Oval vertical|Óvalo vertical
Pad Color|Color del Pad
Passive|Pasivo
Paste|Pegar
Pin Arrangement|Ordenamiento de Pines
Pin Color|Color del Pin
Pin Spacing|Espaciado de Terminales
Pin spacing|Espaciado de Terminales
Pinout|Patillaje
Pins|Pines
Play Test|Hacer prueba
Plugin API|Complemento API
Point Count|Total de Puntos
Polarity|Polaridad
Polarized|Polarizado
Pole Color|Color del Polo
Pole Pieces|Piezas Polares
Pole Pieces 1|Piezas Polares 1
Pole Pieces 2|Piezas Polares 2
Positions|Posiciones
Positive|Positivo
Power Rating|Potencia Nominal
Power Strip|Regleta
Primary CT|Toma Central en primario
Print...|Imprimir...
Project|Proyecto
Project Cloud|Proyectos en la Nube
Public Announcement|Anuncio Público
Radius|Radio
Rail|Rail
Recent Files|Archivos Recientes
Recent Updates|Actualizaciones Recientes
Redo|Rehacer
Renumber On Paste|Renumerar al Pegar
Renumber Selection|Renumerar Selección
Resistance|Resistencia
Rev log|Logarítmico Invertido
Reverse (standing)|Invertido (de pie)
Right|Derecha
Rim|Aro
Rods|Barras
Rotate Clockwise|Rotar en Sentido Horario
Rotate Counterclockwise|Rotar en Sentido Antihorario
Rotate Selection|Rotar Selección
Round|Redondo
Round WOG A|Redondo WOG A 
Round WOG B|Redondo WOG B
Row Spacing|Distancia entre filas
Rows|Filas
Ruler Inch Subdivision...|Subdivisión de Reglas en Pulgadas...
Same Type Only|Solo el Mismo Tipo
Save|Guardar
Save As|Guardar como
Save as Variant|Guardar como Variante
Scale|Escala
Schematic Symbols|Símbolos Esquemáticos
Screws|Tornillos
Selection|Selección
Selection Size|Tamaño de Selección
Selection is empty.|La selección está vacía.
Search The Cloud|Búsqueda en la Nube
Searchable Tree|Árbol de Búsqueda
Secondary CT|Toma Central en Secundario
Select All|Seleccionar Todo
Selected component(s) have reached the bottom of their layer. Do you want to force the selection to the back?|Componente(s) seleccionado(s) está(n) en el fondo de su capa. ¿Desea forzar la selección hacia atrás
Selected component(s) have reached the top of their layer. Do you want to force the selection to the top?|Componente(s) seleccionado(s) está(n) en la parte superior de su capa. ¿Desea forzar la selección hacia el frente?
Selection contains components that cannot be mirrored. Do you want to exclude them?|La selección contiene componentes que no se pueden invertir. ¿Desea excluirlos?
Selection contains components that cannot be rotated. Do you want to exclude them?|La selección contiene componentes que no se pueden rotar. ¿Desea excluirlos?
Semiconductors|Semiconductores
Send Backward|Enviar Atrás
Send Selection to Back|Enviar Selección Atrás
Seven|Siete
Shaft Down|Eje Abajo
Shaft Up|Eje Arriba
Shape|Forma
Shapes|Formas
Show Grid|Mostrar Cuadrícula
Show Resize Dimensions|Mostrar Dimensiones de Redimensionamiento
Show Rulers|Mostrar Reglas
Shroud|Envoltura
Shrouded|Con Envoltura
Single Rail|Un Rail
Single Rods|Barras Simples
Size|Tamaño
Sizing Mode|Modo de Dimensionamiento
Small-button B7G|Zócalo de Botón pequeño B7G
Smooth|Suave
Snap To|Ajustarse a
Soap Bar|Soap Bar
Solid|Sólido
South|Sur
Spacing|Espaciado
Square|Cuadrado
Square BR-3|Cuadrado BR-3
Standard|Estándar
Start Arrow|Flecha de Inicio
Start Recording|Iniciar Grabación
Stereo|Estéreo
Sticky Points|Puntos Agrupados
Stop Recording|Parar Grabación
Stratocaster|Stratocaster
Strip Color|Color de la Tira
Stripe|Raya 
Stripe 1|Raya 1
Stripe 2|Raya 2
Stripe Color|Color de Raya
Stripe Color 1|Color de Raya 1
Stripe Color 2|Color de Raya 2
Style|Estilo
Submit a Bug|Reportar un Fallo
Suppressor grid|Rejilla Supresora
Switched|Conmutado
Switches|Interruptores
Tab|Pestaña
Tab Border|Borde de pestaña
Tabbed Toolbar|Barra de Herramientas con Pestañas
Taper|Respuesta (Ley)
Telecaster|Telecaster
Terminal Spacing|Espaciado de Terminal
Terminals|Terminales
Test|Prueba
Text|Texto
Text Color|Color del Texto
Theme|Tema
There are unsaved changes. Would you like to save them?|Hay cambios sin guardar. ¿Desea guardarlos?
Thickness|Grosor
Three|Tres
Through Hole|Terminales para Soldar 
Tick|Indicador
Title|Tí­tulo
Toolbox|Caja de Herramientas
Top|Arriba
Top Lead|Conector Superior
Top Left|Esquina Superior Izquierda
Top Right|Esquina Superior Derecha
Top-to-Bottom|De arriba hacia abajo
Trace|Trazo
Trace Color|Color del Trazo
Trace Mask|Máscara del Trazado
Transform Selection|Transformar Selección
Triangle|Triángulo
Tubular|Tubular
Tubes|Válvulas
Two|Dos
Type|Tipo
Ultra-miniature|Ultra-miniatura
Underside Pad Color|Color del Pad Inferior
Underside Trace Color|Color del Trazo Inferior
Undo|Deshacer
Ungroup Selection|Desagrupar Selección
Unit|Unidad
Upload A Project|Subir un Proyecto
User Manual|Manual de Usuario
Value|Valor
Version history is not available.|El historial de versiones no está disponible.
Vertical|Vertical
Vertical Alignment|Alineamiento Vertical
Vertical Inline|En linea Vertical
Vertical Offset 1|Zig-Zag Vertical 1
Vertical Offset 2|Zig-Zag Vertical 2
View|Ver
Visible|Visible
Voltage|Voltaje
Wafer|Wafer
Warning|Advertencia
Width|Anchura
Winding Spacing|Espaciado del Devanado
X-axis|Eje X
Y-axis|Eje Y
Zoom|Zoom
base of 10|Base de 10
base of 2|Base de 2
hold %s and drag to unstick from|Mantenga presionado %s y arrastre para despegar
Add a Curve|Agregar una Curva
Clear|Limpiar
Insert Image|Insertar Imagen
Load From File|Carga desde Archivo
Loadline Editor|Editor de Carga
Max Current (mA)|Corriente Máxima (mA)
Max Dissipation (W)|Disipación Máxima (W)
Max Voltage (V)|Tensión Máxima (V)
Save To File|Guardar en Archivo
Update Axis|Actualizar Ejes
Apply Variant|Aplicar Variante
Save as Building Block|Guardar como Bloque 
Select|Seleccionar
Unlock|Desbloquear
Are you sure you want to clear the chat history for this project? This action cannot be undone!|¿Está seguro de que desea borrar el historial de chat de este proyecto? ¡Esta acción no se puede deshacer!
Component reordering is possible only when Project Explorer is sorted by z-index.|El reordenamiento de componentes solo es posible cuando el Explorador de Proyectos está ordenado por z-index.
Could not apply changes. Check the log for details.|No se pudieron aplicar los cambios. Verifique el registro para más detalles.
Exporting outline for board %s to file %s|Exportando el contorno de la placa %s al archivo %s
Failed to export the project to gerber. Please check the log for details|No se pudo exportar el proyecto a gerber. Por favor verifique el registro para más detalles
Forgot Password?|¿Olvidó la Contraseña?
Gerber Export|Exportar Gerber
Gerber export completed successfully. The following files were created:%s|La exportación Gerber se completó exitosamente. Se crearon los siguientes archivos:%s
Get Premium|Obtener Premium
Netlist files|Archivos de lista de red
No proximity issues detected.|No se detectaron problemas de proximidad.
Nothing to export.|Nada que exportar.
Password|Contraseña
Send|Enviar
There are some components that are outside of the bounds of boards.%sThey will be ignored unless you add a board component underneath them.%sDo you want to continue?|Hay algunos componentes que están fuera de los límites de las placas.%sSerán ignorados a menos que agregue un componente de placa debajo de ellos.%s¿Desea continuar?
User Name|Nombre de Usuario
AI Circuit Analyzer|Analizador de Circuitos IA
Cloud|Nube
Compare With...|Comparar con...
Connect to Patreon|Conectar con Patreon
Export|Exportar
Export to Gerber|Exportar a Gerber
Generate DIYLC Netlist (excl. Switches)|Generar Lista de Redes DIYLC (sin interruptores)
Generate DIYLC Netlist (incl. Switches)|Generar Lista de Redes DIYLC (con interruptores)
Generate Spice Netlist (excl. Switches)|Generar Lista Especial de Redes (sin interruptores)
Generate Spice Netlist (incl. Switches)|Generar Lista Especial de Redes (con interruptores)
Silkscreen|Serigrafía
Virtual Multimeter (excl. Switches)|Multímetro Virtual (sin interruptores)
Virtual Multimeter (incl. Switches)|Multímetro Virtual (con interruptores)
Become a Patreon and enjoy perks|Conviértete en Patreon y disfruta de beneficios
Join Patreon|Únete a Patreon
