#start-internal
icon=france
#end-internal
(Building Blocks)|(Blocs de construction)
Click to toggle to the next option|Cliquez pour passer à l'option suivante
Coil|Bobine
Coil Border|Bordure de la bobine
Coil Length|Longueur de la bobine
Coil Width|Largeur de la bobine
Color|Couleur
Color 1|Couleur 1
Color 2|Couleur 2
Color code|Code couleur
Columns|Colonnes
Component|Composant
Component API|Composant API
Components|Composants
Config|Configuration
Connector|Connecteur
Connector (Mirrored)|Connecteur (inversé)
Connectivity|Connectivité
Contacts|Les contacts
Continuous Creation|Création continue
Coordinate Color|Couleur coordonnée
Coordinate Origin|Origine des coordonnées
Coordinates|Coordonnées
Copy|Copier
Core|Noyau
Core Border|Bordure du noyau
Core Thickness|Épaisseur du noyau
Core Width|Largeur de noyau
Could not create a new file. Check the log for details.|Impossible de créer un nouveau fichier. Consultez le journal pour plus de détails.
Could not create component. Check log for details.|Impossible de créer le composant. Consultez le journal pour plus de détails.
Could not fetch public announcements.|Impossible de récupérer les annonces publiques.
Could not save the project to file. Check the log for details.|Impossible d'enregistrer le projet dans un fichier. Consultez le journal pour plus de détails.
Could not set component type slot. Check log for details.|Impossible de définir l'emplacement du type de composant. Consultez le journal pour plus de détails.
Cover|Couverture
Create B.O.M.|Créer la nomenclature (B.O.M.) 
Create New Account|Créer un nouveau compte
Current|Courant
Cut|Couper
Cut Between Holes|Couper entre les trous
Cut Orientation|Orientation de coupe
DIP (Mirrored)|DIP (inversé)
DP3T (Standard 3-Position Strat)|DP3T (Strat standard à 3 positions)
DP3T (Standard 5-Position Strat)|DP3T (Strat standard à 5 positions)
DP4T (4-Position Tele)|DP4T (Tele 4 positions)
Dark|Sombre
Dashed|Pointillé (ligne)
Decimals|Décimales
Default|Par défaut
Default Font|Police par défaut
Default Font Size|Taille de police par défaut
Delete Selection|Supprimer la sélection
Description|La description
Diameter|Diamètre
Directional|Directionnel
Directly heated|Directement chauffé
Display|Affichage
Display Pin #s|Afficher broche #s
Dog Ear|Dog Ear
Dot Spacing|Espacement des points
Dotted|Pointillé (tiret)
Drag control point(s) of|Faites glisser le(s) point(s) de contrôle de
Drag the mouse over the canvas to place a new|Faites glisser la souris sur la toile pour placer un nouveau
Dual Rail Humbucker|Humbucker à double rail
Dual Rods|Double rangée
Duodecar B12C|Duodecar B12C
Duplicate|Dupliquer
Edges|Bords
Edit|Modifier
Edit Project Settings|Modifier les paramètres du projet
Edit Selection|Modifier la sélection
Electrode Labels|Étiquettes d'électrode
Electro-Mechanical|Électromécanique
Enable Cache Boost|Activer le boost du cache
End Arrow|Flèche de fin
Enjoying DIYLC? Click here to buy me a coffee :)|Vous aimez DIYLC? Cliquez ici pour m'offrir un café :)
Error|Erreur
Error occurred while editing selection. Check the log for details.|Une erreur s'est produite lors de la modification de la sélection. Consultez le journal pour plus de détails.
Exit|Quitter
Expand Selection|Etendre la sélection
Explicit Dimensions|Dimensions explicites
Explicit Length|Longueur explicite
Explicit Width|Largeur explicite
Export Building Blocks|Exporter des blocs de construction
Export Grid|Grille d'exportation
Export Variants|Exporter les variantes
Export to PDF|Exporter au format PDF
Export to PNG|Exporter au format PNG
Extra Working Area|Zone de travail supplémentaire
Eyelet color|Oeillet de couleur
FAQ|FAQ
File|Fichier
Fill|Remplir
Filtertron|Filtertron
Find|Trouver
Five|Cinq
Flip|Retourner
Folded|Plié
Font|Police
Font Bold|Gras
Font Italic|Italic
Font Size|Taille de police
Font Size Override|Taille de police (re.)
Four|Quatre
Full|Complet
Fuse|Fusible
Generate DIYLC Netlist|Générer la Netlist DIYLC
Generate Spice Netlist|Générer la Netlist Spice
Grid|Grille
Grid Spacing|Espacement de la grille
Group Selection|Sélection de groupe
Guitar|Guitare
Half|Demi
Hardware Acceleration|Accélération matérielle
Heaters|Radiateurs
Height|Hauteur
Help|Aide
Hi-Quality Rendering|Rendu en haute qualité
Highlight Connected Areas|Mettre en surbrillance les zones connectées
Hole|Trou
Hole Size|Taille du trou
Hole Spacing|Espacement des trous
Hole size|Taille du trou
Holes per strip|Trous par bande
Horizontal|Horizontal
Horizontal Alignment|Alignement horizontal
Horizontal Large|Horizontal Large
Horizontal Medium|Moyen horizontal
Horizontal Small 1|Horizontal petit 1
Horizontal Small 2|Horizontal petit 2
Horizontal X-Small|X-Small horizontal
Humbucking|Humbucking
If this box is checked application will use the current value as a<br>default when creating new components of the same type|Si cette case est cochée, l'application utilisera la valeur actuelle comme valeur par défaut <br> lors de la création de nouveaux composants du même type
Image|Image
Immediate Only|Immédiatement proches seulement
Import|Importer
Import Building Blocks|Importer des blocs de construction
Import Netlist|Importer la liste de connexions
Import Variants|Importer des variantes
In-Line D-44|En ligne D-44
In-line|En ligne
Indent|Retrait
Information|Information
Inline|Inline
Input error for "%s": %s|Erreur d'entrée pour "%s": %s"
Inside color|Couleur intérieure
Integration|Intégration
Invert polarity|Inverser la polarité
Label|Étiquette
Label Color|Couleur de l'étiquette
Label Orientation|Orientation de l'étiquette
Label Position|Position de l'étiquette
Labels|Les étiquettes
Language|Langue
Language selection will be applied after the application is restarted.|La sélection de la langue sera appliquée après le redémarrage de l'application.
Layer|Couche
Layers|Couches
Lead Color|Couleur du fil
Lead Count|Nombre de fils
Lead Length|Longueur du fil
Lead Spacing|Espacement des fils
Left|Gauche
Left-to-Right|De gauche à droite
Left click to instantiate this component, right click for more options|Clic gauche pour instancier ce composant, clic droit pour plus d'options
Legs|Jambes
Length|Longueur
Letters|Lettres
Light|Lumière
Lock|Verrouiller
Log In|Se connecter
Log Out|Se déconnecter
Look for|Rechercher
Lug Size|Taille des cosses
Lugs|Cosses
Make a Donation|Faire un don
Manage Account|Gérer le compte
Manage My Uploads|Gérer mes téléchargements
Mark Common Lugs|Marquer les cosses communes
Marker|Marqueur
Mini|Mini
Miniature|Miniature
Mirror Horizontally|Renverser horizontalement
Mirror Selection|Renverser la sélection
Mirror Vertically|Renverser verticalement
Mirroring operation will change the circuit. Do you want to continue?|L'opération de renversement changera le circuit. Voulez-vous continuer?
Misc|Divers
Model|Modèle
Mono|Mono
Mount|Monter
Mounting Lugs|Pattes de montage
Mouse Wheel Zoom|Zoom de la molette de la souris
Moveable Label|Étiquette mobile
Name|Nom
Negative|Négatif
New|Nouveau
New version available|Nouvelle version disponible
No new public announcements available.|Aucune nouvelle annonce publique disponible.
No|Non
None|Aucun
North|Nord
Noval B9A|Noval B9A
Nudge|Pousser
Numbers|Chiffres
Nut|Noix
Octal|Octal
Offset|Décalage
One Side|Un côté
Open|Ouvrir
Opposing Points|Points opposés
Orientation|Orientation
Outer Foil|Feuille extérieure
Outer Foil Mark|Marque de feuille extérieure
Outline Mode|Mode contour
Outside|Dehors
Oval horizontal|Ovale horizontal
Oval vertical|Ovale vertical
Pad Color|Palette de couleurs
Passive|Passif
Paste|Coller
Pin Arrangement|Disposition de la broche
Pin Color|Couleur de la broche
Pin Spacing|Espacement de la broche
Pin spacing|Espacement de la broche
Pinout|Brochage
Pins|Epingles
Play Test|Lancer le test
Plugin API|Plugin API
Point Count|Nombre de points
Polarity|Polarité
Polarized|Polarisé
Pole Color|Couleur de l'aimant
Pole Pieces|Pièces de l'aimant
Pole Pieces 1|Pièces de l'aimant 1
Pole Pieces 2|Pièces de l'aimant 2
Positions|Postes
Positive|Positif
Power Rating|Puissance nominale
Power Strip|Multiprise
Primary CT|Prise centrale primaire
Print...|Imprimer...
Project Cloud|Projet Cloud
Public Announcement|Annonce publique
Radius|Rayon
Rail|Rail
Recent Files|Fichiers récents
Recent Updates|Mises à jour récentes
Redo|Refaire
Renumber On Paste|Renuméroter en collant
Renumber Selection|Renuméroter la sélection
Resistance|Résistance
Rev log|Journal de révision
Reverse (standing)|Renverser (debout)
Right|Droit
Rim|Bord
Rods|Rangée
Rotate Clockwise|Rotation dans le sens horaire
Rotate Counterclockwise|Rotation dans le sens antihoraire
Rotate Selection|Faire pivoter la sélection
Round|Ronde
Round WOG A|Round WOG A
Round WOG B|Round WOG B
Row Spacing|Espacement des lignes
Rows|Rangées
Ruler Inch Subdivision...|Subdivision en pouces de la règle...
Same Type Only|Même type uniquement
Save|Enregistrer
Save As|Enregistrer sous
Save as Variant|Enregistrer en tant que variante
Scale|Echelle
Schematic Symbols|Symboles schématiques
Screws|Vis
Selection|Sélection
Selection Size|Taille de la sélection
Selection is empty.|La sélection est vide.
Search The Cloud|Rechercher dans le cloud
Searchable Tree|Arbre consultable
Secondary CT|CT secondaire
Select All|Tout sélectionner
Selected component(s) have reached the bottom of their layer. Do you want to force the selection to the back?|Les composants sélectionnés ont atteint le bas de leur calque. Voulez-vous forcer la sélection vers l'arrière?
Selected component(s) have reached the top of their layer. Do you want to force the selection to the top?|Les composants sélectionnés ont atteint le haut de leur calque. Voulez-vous forcer la sélection vers le haut?
Selection contains components that cannot be mirrored. Do you want to exclude them?|La sélection contient des composants qui ne peuvent pas être mis en miroir. Voulez-vous les exclure?
Selection contains components that cannot be rotated. Do you want to exclude them?|La sélection contient des composants qui ne peuvent pas être pivotés. Voulez-vous les exclure?
Semiconductors|Semi-conducteurs
Send Backward|Envoyer vers l'arrière
Send Selection to Back|Envoyer la sélection vers l'arrière
Seven|Sept
Shaft Down|Tige vers le bas
Shaft Up|Tige vers le haut
Shape|Forme
Shapes|Formes
Show Grid|Afficher la grille
Show Rulers|Afficher les règles
Shroud|Enveloppe
Shrouded|Enveloppé
Single Rail|Rail simple
Single Rods|Rangée simple
Size|Taille
Sizing Mode|Mode de redimensionnement
Small-button B7G|Petit bouton B7G
Smooth|Lisse
Snap To|Aimanter à
Soap Bar|Soap Bar
Solid|Solide
South|Sud
Spacing|Espacement
Square|Carré
Square BR-3|Carré BR-3
Standard|Standard
Start Arrow|Flèche de départ
Start Recording|Démarrer l'enregistrement
Stereo|Stéréo
Sticky Points|Points aimantés
Stop Recording|Arrêter l'enregistrement
Stratocaster|Stratocaster
Strip Color|Couleur de la bande
Stripe|Rayure
Stripe 1|Rayure 1
Stripe 2|Rayure 2
Stripe Color|Couleur de la rayure
Stripe Color 1|Couleur de la rayure 1
Stripe Color 2|Couleur de la rayure 2
Style|Style
Submit a Bug|Soumettre un bug
Suppressor grid|Grille de suppression
Switched|Commuté
Switches|Commutateurs
Tab|Onglet
Tab Border|Bordure de tabulation
Tabbed Toolbar|Barre d'outils à onglets
Taper|De réduction
Telecaster|Telecaster
Terminal Spacing|Espacement des bornes
Terminals|Terminaux
Test|Test
Text|Texte
Text Color|Couleur du texte
Theme|Thème
There are unsaved changes. Would you like to save them?|Il y a des modifications non enregistrées. Voulez-vous les enregistrer?
Thickness|Épaisseur
Three|Trois
Through Hole|Trou traversant
Tick|Cocher
Title|Titre
Toolbox|Boîte à outils
Top|Haut
Top Lead|Fil du haut
Top Left|En haut à gauche
Top Right|En haut à droite
Top-to-Bottom|De haut en bas
Trace|Piste
Trace Color|Couleur de la piste
Trace Mask|Masque de la piste
Transform Selection|Transformer la sélection
Triangle|Triangle
Tubular|Tubulaire
Tubes|Tubes
Two|Deux
Type|Taper
Ultra-miniature|Ultra-miniature
Underside Pad Color|Couleur du tampon inférieur
Underside Trace Color|Couleur de la trace inférieure
Undo|Annuler
Ungroup Selection|Dissocier la sélection
Unit|Unité
Upload A Project|Télécharger un projet
User Manual|Manuel d'utilisation
Value|Valeur
Version history is not available.|L'historique des versions n'est pas disponible.
Vertical|Vertical
Vertical Alignment|Alignement vertical
Vertical Inline|en ligne vertical
Vertical Offset 1|Décalage vertical 1
Vertical Offset 2|Décalage vertical 2
View|Afficher
Visible|Visible
Voltage|Tension
Wafer|Wafer
Warning|Avertissement
Width|Largeur
Winding Spacing|Espacement des enroulements
X-axis|Axe X
Y-axis|Axe Y
Zoom|Zoom
base of 10|base de 10
base of 2|base de 2
hold %s and drag to unstick from|maintenez %s et faites glisser pour décoller
Add a Curve|Ajouter une courbe
Clear|Effacer
Insert Image|Insérer une image
Load From File|Charger depuis un fichier
Loadline Editor|Éditeur de ligne de charge
Max Current (mA)|Courant maximum (mA)
Max Dissipation (W)|Dissipation maximale (W)
Max Voltage (V)|Tension maximale (V)
Save To File|Enregistrer dans un fichier
Update Axis|Mettre à jour les axes
Apply Variant|Appliquer la variante
Save as Building Block|Enregistrer comme bloc de construction
Select|Sélectionner
Unlock|Déverrouiller
Are you sure you want to clear the chat history for this project? This action cannot be undone!|Êtes-vous sûr de vouloir effacer l'historique de chat de ce projet? Cette action ne peut pas être annulée!
Component reordering is possible only when Project Explorer is sorted by z-index.|Le réordonnancement des composants n'est possible que lorsque l'Explorateur de projet est trié par z-index.
Could not apply changes. Check the log for details.|Impossible d'appliquer les modifications. Consultez le journal pour plus de détails.
Exporting outline for board %s to file %s|Exportation du contour de la carte %s vers le fichier %s
Failed to export the project to gerber. Please check the log for details|Échec de l'exportation du projet vers gerber. Veuillez consulter le journal pour plus de détails
Forgot Password?|Mot de passe oublié?
Gerber Export|Export Gerber
Gerber export completed successfully. The following files were created:%s|L'export Gerber a été complété avec succès. Les fichiers suivants ont été créés:%s
Get Premium|Obtenir Premium
Netlist files|Fichiers de liste de connexions
No proximity issues detected.|Aucun problème de proximité détecté.
Nothing to export.|Rien à exporter.
Password|Mot de passe
Send|Envoyer
There are some components that are outside of the bounds of boards.%sThey will be ignored unless you add a board component underneath them.%sDo you want to continue?|Il y a des composants qui sont en dehors des limites des cartes.%sIls seront ignorés sauf si vous ajoutez un composant de carte en dessous.%sVoulez-vous continuer?
User Name|Nom d'utilisateur
AI Circuit Analyzer|Analyseur de circuit IA
Cloud|Cloud
Compare With...|Comparer avec...
Connect to Patreon|Se connecter à Patreon
Export|Exporter
Export to Gerber|Exporter vers Gerber
Generate DIYLC Netlist (excl. Switches)|Générer la Netlist DIYLC (sans commutateurs)
Generate DIYLC Netlist (incl. Switches)|Générer la Netlist DIYLC (avec commutateurs)
Generate Spice Netlist (excl. Switches)|Générer la Netlist Spice (sans commutateurs)
Generate Spice Netlist (incl. Switches)|Générer la Netlist Spice (avec commutateurs)
Silkscreen|Sérigraphie
Virtual Multimeter (excl. Switches)|Multimètre virtuel (sans commutateurs)
Virtual Multimeter (incl. Switches)|Multimètre virtuel (avec commutateurs)
Become a Patreon and enjoy perks|Devenez un Patreon et profitez d'avantages
Join Patreon|Rejoindre Patreon
