#start-internal
icon=italy
#end-internal
(Building Blocks)|(Blocchi Costruttivi)
DP3T (Standard 3-Position Strat)|DP3T (Strat standard a 3 posizioni)
DP3T (Standard 5-Position Strat)|DP3T (Strat standard a 5 posizioni)
DP4T (4-Position Tele)|DP4T (Tele a 4 posizioni)
Dark|Scuro
Dashed|Tratteggiata
Decimals|Decimali
Default|Predefinito
Default Font|Carattere Predefinito
Default Font Size|Dimensione Carattere Predefinita
Delete Selection|Elimina Selezione
Description|Descrizione
Diameter|Diametro
Directional|Direzionale
Directly heated|Riscaldato Diretto
Display|Display
Display Pin #s|Mostra i Pin #s
Dog Ear|Dog Ear
Dot Spacing|Spaziatura Punti
Dotted|Tratteggiato
Drag control point(s) of|Trascina i punti di controllo di
Drag the mouse over the canvas to place a new|Trascina il mouse sulla tela per posizionarne una nuova
Dual Rail Humbucker|Humbucker Dual Rail
Dual Rods|Doppia Asta
Duodecar B12C|Duodecar B12C
Duplicate|Duplica
Edges|Bordi
Edit|Modifica
Edit Project Settings|Modifica Impostazioni Progetto
Edit Selection|Modifica Selezione
Electrode Labels|Etichette degli Elettrodi
Electro-Mechanical|Elettromeccanico
Enable Cache Boost|Abilita Cache Boost
End Arrow|Freccia Finale
Enjoying DIYLC? Click here to buy me a coffee :)|Ti piace DIYLC? Clicca qui per offrirmi un caffè :)
Error|Errore
Error occurred while editing selection. Check the log for details.|Si è verificato un errore durante la modifica della selezione. Controlla il registro per i dettagli.
Exit|Uscita
Expand Selection|Espandi selezione
Explicit Dimensions|Dimensioni esplicite
Explicit Length|Lunghezza esplicita
Explicit Width|Larghezza esplicita
Export Building Blocks|Esporta blocchi costruttivi
Export Grid|Esporta griglia
Export Variants|Esporta varianti
Export to PDF|Esporta in PDF
Export to PNG|Esporta in PNG
Extra Working Area|Area di lavoro extra
Eyelet color|Colore occhiello
FAQ|FAQ
File|Documento
Fill|Riempi
Filtertron|Filtertron
Find|Trova
Five|Cinque
Flip|Ribalta
Folded|Ripiegato
Font|Carattere
Font Bold|Carattere grassetto
Font Italic|Carattere corsivo
Font Size|Dimensione carattere
Font Size Override|Dimensione carattere (sos.)
Four|Quattro
Full|Pieno
Fuse|Fusibile
Generate DIYLC Netlist|Genera netlist DIYLC
Generate Spice Netlist|Genera netlist Spice
Grid|Griglia
Grid Spacing|Spaziatura griglia
Group Selection|Selezione di gruppo
Guitar|Chitarra
Half|Metà
Hardware Acceleration|Accelerazione hardware
Heaters|Filamenti
Height|Altezza
Help|Aiuto
Hi-Quality Rendering|Rendering di alta qualità
Highlight Connected Areas|Evidenzia aree connesse
Hole|Foro
Hole Size|Dimensione del foro
Hole Spacing|Distanza tra i fori
Hole size|Dimensione del foro
Holes per strip|Fori per fila
Horizontal|Orizzontale
Horizontal Alignment|Allineamento orizzontale
Horizontal Large|Orizzontale Largo
Horizontal Medium|Orizzontale Medio
Horizontal Small 1|Orizzontale Piccolo 1
Horizontal Small 2|Orizzontale Piccolo 2
Horizontal X-Small|Orizzontale X-Piccolo
Humbucking|Humbucking
If this box is checked application will use the current value as a<br>default when creating new components of the same type|Se questa casella è selezionata, l'applicazione utilizzerà il valore corrente come predefinito quando si creano nuovi componenti dello stesso tipo
Image|Immagine
Immediate Only|Solo immediato
Import|Importa
Import Building Blocks|Importa blocchi di costruzione
Import Netlist|Importa netlist
Import Variants|Importa varianti
In-Line D-44|In linea D-44
In-line|In linea
Indent|Trattino
Information|Informazioni
Inline|In fila
Input error for "%s": %s|Errore di input per " %s": %s
Insert Image|Inserisci immagine
Inside color|Colore interno
Integration|Integrazione
Invert polarity|Invertire la polarità
Label|etichetta
Label Color|Colore etichetta
Label Orientation|Etichetta di orientamento
Label Position|Etichetta di posizione
Labels|etichette
Language|Lingua
Language selection will be applied after the application is restarted.|La selezione della lingua verrà applicata dopo il riavvio dell'applicazione.
Layer|strato
Layers|Livelli
Lead Color|Colore cavo
Lead Count|Conteggio del cavo
Lead Length|Lunghezza del cavo
Lead Spacing|Spaziatura del cavo
Left|sinistra
Left-to-Right|Da sinistra a Destra
Left click to instantiate this component, right click for more options|Fare clic con il tasto sinistro del mouse per creare un'istanza di questo componente, fare clic con il tasto destro per ulteriori opzioni
Legs|Reoforo
Length|lunghezza
Letters|lettere
Light|luce
Lin|biancheria
Lip|labbro
Load From File|Carica da file
Loadline Editor|Editor rette di carico
Lock|Blocco
Log|Accesso
Log In|Accedi
Log Out|Esci
Look for|Cerca
Lug Size|Dimensione dell'aletta
Lugs|Alette
Make a Donation|Fai una donazione
Manage Account|Gestisci account
Manage My Uploads|Gestisci i miei caricamenti
Mark Common Lugs|Segna le alette comuni
Marker|marcatore
Max Current (mA)|Corrente massima (mA)
Max Dissipation (W)|Dissipazione massima (W)
Max Voltage (V)|Tensione massima (V)
Mini|mini
Miniature|miniatura
Mirror Horizontally|Specchia orizzontalmente
Mirror Selection|Selezione specchiatura
Mirror Vertically|Specchia verticalmente
Mirroring operation will change the circuit. Do you want to continue?|L'operazione di specchiatura cambierà il circuito. Vuoi continuare?
Misc|Varie
Model|modello
Mono|mono
Mount|Montaggio
Mounting Lugs|Alette di montaggio
Mouse Wheel Zoom|Zoom ruota del mouse
Moveable Label|Etichetta mobile
Name|nome
Nand|Nand
Negative|negativo
New|nuovo
New version available|Nuova versione disponibile
No new public announcements available.|Nessun nuovo annuncio pubblico disponibile.
No|No.
None|nessuno
North|nord
Noval B9A|Noval B9A
Nudge|Tocco
Numbers|numeri
Nut|noce
Octal|Octal
Offset|Fuori centro
One Side|Un lato
Open|aperto
Opposing Points|Punti opposti
Orientation|orientamento
Outer Foil|Foglio esterno
Outer Foil Mark|Marco foglio esterno
Outline Mode|Modalità Contorno
Outside|al di fuori
Oval horizontal|Ovale orizzontale
Oval vertical|Ovale verticale
Pad Color|Colore piazzola
Passive|passivo
Paste|incollare
Pin Arrangement|Disposizione pin
Pin Color|Colore pin
Pin Spacing|Distanza tra i pin
Pin spacing|Distanza tra i pin
Pinout|piedinatura
Pins|Piedini
Play Test|Esegui il Test
Plugin API|Plugin API
Point Count|Conteggio punti
Polarity|polarità
Polarized|Polarizzato
Pole Color|Colore Polo
Pole Pieces|Pezzi del Polo
Pole Pieces 1|Pezzi polo 1
Pole Pieces 2|Pezzi polo 2
Positions|posizioni
Positive|positivo
Power Rating|Potenza nominale
Power Strip|Ciabatta
Primary CT|CT primario
Print...|Stampa ...
Project|Progetto
Project Cloud|Progetto Cloud
Public Announcement|Annuncio pubblico
Radius|raggio
Rail|rotaia
Recent Files|File recenti
Recent Updates|Aggiornamenti recenti
Redo|Redo
Renumber On Paste|Rinumera su Incolla
Renumber Selection|Rinumera selezione
Resistance|resistenza
Rev log|Rev Log
Reverse (standing)|Inverso (in piedi)
Right|destra
Rods|Canne
Rotate Clockwise|Ruota in senso orario
Rotate Counterclockwise|Ruota in senso antiorario
Rotate Selection|Ruota selezione
Round|tondo
Round WOG A|Round WOG A
Round WOG B|Round WOG B
Row Spacing|Spaziatura righe
Rows|righe
Ruler Inch Subdivision...|Suddivisione riga in pollici
Same Type Only|Solo dello stesso tipo
Save|Salva
Save As|Salva con nome
Save as Building Block|Salva come blocco costruttivo
Save as Variant|Salva come variante
Save To File|Salva al file
Scale|scala
Schematic Symbols|Simboli componenti
Screws|viti
Select|Seleziona
Selection|selezione
Selection Size|Dimensione selezione
Selection is empty.|La selezione è vuota
Search The Cloud|Cerca nel cloud
Searchable Tree|Albero ricercabile
Secondary CT|CT secondario
Select All|Seleziona tutto
Selected component(s) have reached the bottom of their layer. Do you want to force the selection to the back?|I componenti selezionati hanno raggiunto il fondo del loro livello. Vuoi forzare la selezione verso il basso?
Selected component(s) have reached the top of their layer. Do you want to force the selection to the top?|I componenti selezionati hanno raggiunto la cima del loro livello. Vuoi forzare la selezione verso l'alto?
Selection contains components that cannot be mirrored. Do you want to exclude them?|La selezione contiene componenti che non possono essere specchiati. Vuoi escluderli?
Selection contains components that cannot be rotated. Do you want to exclude them?|La selezione contiene componenti che non possono essere ruotati. Vuoi escluderli?
Semiconductors|Semiconduttori
Send Backward|Invia indietro
Send Selection to Back|Invia selezione indietro
Server error, please try again.|Errore del server, riprova.
Seven|sette
Shaft Down|Shaft Down
Shaft Up|Shaft Up
Shape|forma
Shapes|forme
Show Grid|Mostra griglia
Show Resize Dimensions|Mostra dimensioni ridimensionamento
Show Rulers|Mostra righelli
Shroud|Copri
Shrouded|Coperto
Single Rail|Single Rail
Single Rods|Canne Singole
Size|dimensione
Sizing Mode|Modalità di dimensionamento
Small-button B7G|Pulsante piccolo B7G
Smooth|Smussato
Snap To|Aggancia a
Soap Bar|Soap Bar
Solid|solido
South|Sud
Spacing|spaziatura
Square|Quadrato
Square BR-3|Square BR-3
Standard|standard
Start Arrow|Inizia la freccia
Start Recording|Inizia la registrazione
Stereo|stereo
Sticky Points|Punti adesivi
Stop Recording|Ferma la registrazione
Stratocaster|Stratocaster
Strip Color|Colore della striscia
Stripe|striscia
Stripe 1|Striscia 1
Stripe 2|Striscia 2
Stripe Color|Colore  striscia
Stripe Color 1|Colore striscia 1
Stripe Color 2|Colore striscia 2
Style|stile
Submit a Bug|Invia un bug
Suppressor grid|Griglia soppressore
Switched|Switched
Switches|Interruttori
Tab|Barra
Tab Border|Bordo barra
Tabbed Toolbar|Barra degli strumenti a schede
Taper|tipo
Telecaster|Telecaster
Terminal Spacing|Spaziatura terminale
Terminals|terminali
Test|prova
Text|testo
Text Color|Colore del testo
Theme|tema
There are unsaved changes. Would you like to save them?|Ci sono modifiche non salvate. Vuoi salvarli?
Thickness|spessore
Three|tre
Through Hole|Foro passante
Tick|Spunto
Title|titolo
Toolbox|cassetta degli attrezzi
Top|top
Top Lead|Conduttore superiore
Top Left|In alto a sinistra
Top Right|In alto a destra
Top-to-Bottom|Dall alto al basso
Trace|traccia
Trace Color|Colore traccia
Trace Mask|Maschera traccia
Transform Selection|Trasforma selezione
Triangle|triangolo
Tubular|tubolare
Tubes|tubo
Two|due
Type|tipo
Ultra-miniature|Ultra-miniatura
Underside Pad Color|Colore piazzola inferiore
Underside Trace Color|Colore della traccia inferiore
Undo|Annulla
Ungroup Selection|Separa la selezione
Unlock|Sblocca
Unit|unità
Update Axis|Aggiorna asse
Upload A Project|Carica un progetto
User Manual|Manuale dell'utente
Value|valore
Version history is not available.|La cronologia della versione non è disponibile.
Vertical|verticale
Vertical Alignment|Allineamento verticale
Vertical Inline|In fila verticale
Vertical Offset 1|Offset verticale 1
Vertical Offset 2|Offset verticale 2
View|vista
Visible|visibile
Voltage|tensione
Wafer|wafer
Warning|avvertimento
Width|larghezza
Winding Spacing|Spaziatura degli avvolgimenti
X-axis|Asse X
Y-axis|Asse Y
Zoom|Ingrandimento
base of 10|base di 10
base of 2|base di 2
hold %s and drag to unstick from|tieni premuto %s e trascina per sbloccare da
Are you sure you want to clear the chat history for this project? This action cannot be undone!|Sei sicuro di voler cancellare la cronologia della chat per questo progetto? Questa azione non può essere annullata!
Component reordering is possible only when Project Explorer is sorted by z-index.|Il riordinamento dei componenti è possibile solo quando Project Explorer è ordinato per z-index.
Could not apply changes. Check the log for details.|Impossibile applicare le modifiche. Controlla il registro per i dettagli.
Exporting outline for board %s to file %s|Esportazione del contorno per la scheda %s nel file %s
Failed to export the project to gerber. Please check the log for details|Impossibile esportare il progetto in gerber. Controlla il registro per i dettagli
Forgot Password?|Password dimenticata?
Gerber Export|Esporta Gerber
Gerber export completed successfully. The following files were created:%s|Esportazione Gerber completata con successo. Sono stati creati i seguenti file:%s
Get Premium|Ottieni Premium
Netlist files|File netlist
No proximity issues detected.|Nessun problema di prossimità rilevato.
Nothing to export.|Niente da esportare.
Password|Password
Send|Invia
There are some components that are outside of the bounds of boards.%sThey will be ignored unless you add a board component underneath them.%sDo you want to continue?|Ci sono alcuni componenti che sono al di fuori dei limiti delle schede.%sVerranno ignorati a meno che non aggiungi un componente scheda sotto di loro.%sVuoi continuare?
User Name|Nome utente
AI Circuit Analyzer|Analizzatore di Circuiti IA
Cloud|Cloud
Compare With...|Confronta con...
Connect to Patreon|Connetti a Patreon
Export|Esporta
Export to Gerber|Esporta in Gerber
Generate DIYLC Netlist (excl. Switches)|Genera netlist DIYLC (escl. interruttori)
Generate DIYLC Netlist (incl. Switches)|Genera netlist DIYLC (incl. interruttori)
Generate Spice Netlist (excl. Switches)|Genera netlist Spice (escl. interruttori)
Generate Spice Netlist (incl. Switches)|Genera netlist Spice (incl. interruttori)
Silkscreen|Serigrafia
Virtual Multimeter (excl. Switches)|Multimetro Virtuale (escl. interruttori)
Virtual Multimeter (incl. Switches)|Multimetro Virtuale (incl. interruttori)
Become a Patreon and enjoy perks|Diventa un Patreon e goditi i vantaggi
Join Patreon|Unisciti a Patreon
